HILLER'S MARKET #8,51847 TEN MILE RD,SOUTH LYON,48178,42.46059,-83.651606
SHEENA'S MARKETPLACE,70920 VAN DYKE RD,ROMEO,48065,42.816678,-83.018217
HOLLY PARTY SHOPPE,102 N SAGINAW ST,HOLLY,48442,42.79204,-83.627177
HOLLYWOOD SUPERMARKET #4,1525 OPDYKE RD,BLOOMFIELD HILL,48304,42.57679,-83.239894
WALMART #4660,18400 HALL RD,CLINTON TWP,48038,42.626031,-82.937742
WALMART #2354 (SUPER),2500 S ADAMS RD,ROCHESTER HILLS,48309,42.642926,-83.197676
CHESTERFIELD MARKET,52050 N GRATIOT AVE,CHESTERFIELD,48051,42.683411,-82.825061
MR PIZZA BOOTLEG P-S,2965 WALTON BLVD,ROCHESTER HILLS,48309,42.680149,-83.191441
VINSETTA GARAGE,27799 WOODWARD AVE,BERKLEY,48072,42.494857,-83.1645
BLUE DIAMOND PARTY STORE,21497 RYAN RD,WARREN,48091,42.453923,-83.064469
HOLLYWOOD SUPERMARKET #5,2020 AUBURN AVE,UTICA,48317,42.637791,-83.090569
BERKLEY MARATHON,3427 W TWELVE MILE RD,BERKLEY,48072,42.502683,-83.193898
BUSCEMI'S P/SHOPPE #27,2228 CROOKS RD,ROCHESTER HILLS,48309,42.649104,-83.172765
RYAN'S FRESH MARKET,20 E WALTON BLVD,PONTIAC,48340,42.676414,-83.299486
HILLER'S MARKET #6,39950 W FOURTEEN MILE RD,WALLED LAKE,X,0,0
A & B LIQUOR & TOBACCO,41910 HAYES RD,CLINTON TWP,48038,42.604599,-82.97229
SYLVAN QUALITY MARKET,2310-2322 ORCHARD LAKE RD,SYLVAN LAKE,48320,42.611292,-83.329158
WALMART #2700,9190 HIGHLAND RD,WHITE LAKE,48336,42.465835,-83.346878
HATCHERY MARKET,4850 HATCHERY RD,WATERFORD,48329,42.675372,-83.382818
HAMLET FOOD MARKET,1051 NOVI RD,NORTHVILLE,48167,42.443544,-83.474821
